'Plant'	'Type'	'Array'	'# Healthy Seeds'	'Aborted'	'Ovules'	'Additional Comments'	'Predicted Plant #'
	'W'''	11	18	3	9		'51-60'
	'W'''	11	25	4	5		'51-60'
	'W'''	11	12	6	11		'51-60'
	'W'''	11	7	2	20		'51-60'
	'W+'	12	23	4	1		'61 or 65'
	'W+'	12	20	5	0		'61 or 65'
	'W+'	12	24	9	0		'61 or 65'
	'W+'	12	17	9	0		'61 or 65'
	'W+'	12	23	5	0		'61 or 65'
'93 (?)'	'W'	25	11	3	18		90
'93 (?)'	'W'	25	20	2	18		90
'93 (?)'	'W'	25	22	5	11		90
'99 (?)'		32	22	2	3		99
'99 (?)'		20	2	2	26		99
'99 (?)'		39	20	3	2		99
'99 (?)'		39	30	0	0		99
'99 (?)'		39	21	0	0		99
'99 (?)'		39	26	2	0		99
'99 (?)'		28	24	7	3		99
'99 (?)'		28	21	2	2		99
'99 (?)'		28	29	3	2		99
'99 (?)'		28	25	1	10		99
'99 (?)'		37	21	8	2		99
92	'W'	34	3	5	20		
92	'W'	28	11	4	16		
92	'W'	28	11	4	21		
	'W'	11	26	3	2		57
	'W'	11	30	0	0		57
	'W'	11	25	5	0		57
	'W'	11	28	0	1		57
	'W'	11	23	3	1		57
106	'W'	25	10	2	28		
106	'W'	25	17	5	15		
106	'W'	25	9	5	23		
80	'W'	17	29	4	3		
80	'W'	17	33	1	6		
80	'W'	17	36	2	1		
	'W'	37	20	10	4		57
	'W'	29	21	2	12		57
	'W'	35	26	1	4		57
	'W'	35	31	6	2		57
	'W'	35	26	1	3		57
61	'W'	29	14	1	16		
	'W'	32	24	3	2		57
	'W+'	36	16	4	6		'61 or 65'
	'W+'	36	19	7	6		'61 or 65'
50	'W'	25	29	4	2		
	'W'	25	21	2	9		
	'W'	25	15	4	15		
	'W'	28	24	2	5		57
	'W'	28	22	5	9		57
	'W'	28	20	3	4		57
	'W'	28	28	2	4		57
	'W'	25	29	2	3		57
	'W'	25	14	0	14		57
	'W'	23	27	4	6		57
	'W'	23	14	0	18		57
	'W'	23	30	0	5		57
	'W'	23	19	1	6		57
	'W+'	34	22	0	6		'61 or 65'
	'W+'	34	22	2	4		'61 or 65'
	'W+'	34	16	5	9		'61 or 65'
	'W+'	34	0	1	19		'61 or 65'
	'W'	20	20	2	11		
63	'W'	28	27	3	3		
63	'W'	28	23	4	7		
63	'W'	28	25	3	5		
'-'	'W'	34	25	3	0		
'-'	'W'	34	22	0	2		
'-'	'W'	34	12	0	0		
'-'	'W'	34	18	1			
'99 (?)'	'W'	35	30	2	0		99
'99 (?)'	'W'	35	26	2	0		99
'A'	'T'	17	28	3	0		'83, 84, or 85'
'A'	'T'	17	33	2	0		'83, 84, or 85'
'A'	'T'	17	29	1	0		'83, 84, or 85'
'13 or 73 (?)'	'W'	7	18	7	0		41
'13 or 73 (?)'	'W'	7	22	9	0		41
94	'W'	19	17	2	4		
94	'W'	19	8	1	8		
94	'W'	19	33	0	0		
94	'W'	19	33	0	0		
42	'T'	23	30	1	0		
42	'T'	23	29	2	0		
42	'T'	23	4	0	22		
42	'T'	23	20	2	12		
42	'T'	17	30	1	2		
42	'T'	17	19	4	0		
42	'T'	17	0	31	1		
68	'T'	17	26	1	0		
68	'T'	17	25	1	0		
'B'	'T'	15	31	1	0		'83, 84, or 85'
'B'	'T'	15	27	1	0		'83, 84, or 85'
'B'	'T'	15	23	3	0		'83, 84, or 85'
'B'	'T'	17	28	5	0		'83, 84, or 85'
'B'	'T'	17	25	1	0		'83, 84, or 85'
'C'	'T'	19	33	3	0		'88-97'
'C'	'T'	19	25	5	0		'88-97'
'C'	'T'	19	30	4	0		'88-97'
'C'	'T'	19	32	0	0		'88-97'
'C'	'T'	19	23	1	2		'88-97'
	'W'''	28	26	3	0		'57 or 59'
	'W'''	28	28	0	0		'57 or 59'
	'W'''	28	16	2	12		'57 or 59'
	'W'''	28	21	2	0		'57 or 59'
	'W'''	28	4	1	0		'57 or 59'
'A'	'T'	15	32	1	0		'83, 84, or 85'
'A'	'T'	15	32	1	0		'83, 84, or 85'
'13 or 73 (?)'	'W'	17	19	8	7		41
'13 or 73 (?)'	'W'	17	20	9	9		41
'13 or 73 (?)'	'W'	17	9	6	18		41
'D'	'T'	22	18	1	0		54
	'W'''	20	0	2	0		'57 or 59'
'D'	'T'	11	28	2	0		54
'D'	'T'	11	28	1	1		54
'D'	'T'	11	27	2	0		54
'D'	'T'	11	26	2	0		54
'D'	'T'	11	25	3	0		54
'13 or 73 (?)'	'W'	28	24	5	10		41
'13 or 73 (?)'	'W'	28	31	1	3		41
'13 or 73 (?)'	'W'	28	21	4	1		41
'13 or 73 (?)'	'W'	28	15	2	14		41
'13 or 73 (?)'	'W'	28	26	2	4		41
'E'	'W'	14	28	4	1		82
'E'	'W'	24	25	0	0		82
'E'	'W'	25	17	9	8		82
'E'	'W'	25	11	4	14		82
'E'	'W'	25	15	7	7		82
'E'	'W'	28	22	10	0		82
'E'	'W'	28	28	4	0		82
'E'	'W'	28	16	3	8		82
'E'	'W'	28	4	0	9		82
'E'	'W'	32	24	6	2		82
'E'	'W'	32	27	3	9		82
'E'	'W'	35	28	0	3		82
'E'	'W'	35	25	2	2		82
'E'	'W'	35	26	1	2		82
'E'	'W'	37	13	9	3		82
'13 or 73 (?)'	'W'	25	13	8	10		41
'13 or 73 (?)'	'W'	25	2	3	22		41
'13 or 73 (?)'	'W'	25	9	6	14		41
66	'T'	12	28	2	0		
66	'T'	12	23	3	4		
66	'T'	12	24	3	0		
66	'T'	12	23	2	0		
66	'T'	12	27	2	1		
'10 (?)'	'W'	23	32	2	4		103
'10 (?)'	'W'	23	20	2	12		103
'10 (?)'	'W'	23	32	2	2		103
'10 (?)'	'W'	23	26	3	5		103
'10 (?)'	'W'	20	11	0	20		103
80	'W'	34	12	4	15		
80	'W'	39	5	22	2		
'42 or 47'	'T'	9	18	6	0		42
'42 or 47'	'T'	9	12	10	4		42
'42 or 47'	'T'	9	20	7	2		42
'50(?)'	'W'	37	24	2	5		50
'50 (?)'	'W'	10	17	5	7		50
'50 (?)'	'W'	10	16	6	5		50
